lat,lon,elev,dist,elev_diff,slope,time_diff,pace,energy_cost,adjusted_pace,weather_adjusted_pace,temp,humidity,ml_predicted_pace
46.264218,3.432181,256.5,84.52975896464064,2.25,0.02661784473964004,27.617,326.71334141095065,4.151022190960285,376.7206472999,384.63178089319786,20.419999999999998,61.25999999999999,387.5092
46.26417,3.432366,256.75,15.207076536896833,0.25,0.016439714720539914,5.579,366.8686737035687,3.9328932517587503,400.7931475251245,409.2098036231521,20.419999999999998,61.25999999999999,407.6641
46.263822,3.432903,256.5,56.64508028424054,-0.25,-0.004413445947035819,20.016,353.3581363034758,3.514843369411219,344.9995840038271,352.24457526790746,20.419999999999998,61.25999999999999,349.7005
46.263836,3.433193,257.25,22.37259110897632,0.75,0.033523162174053475,7.853,351.00985673712256,4.304070641067501,419.65867197432186,428.47150408578256,20.419999999999998,61.25999999999999,431.4908
46.263883,3.433459,258.25,21.12922096383173,1.0,0.04732782158470326,8.222,389.1293490694302,4.6218950561737895,499.5875040767011,510.0788416623118,20.419999999999998,61.25999999999999,511.3435
46.264319,3.435502,265.75,164.5476814411583,7.5,0.0455794936416772,64.037,389.1698712442777,4.580787170737675,495.1956537315056,505.5947624598672,20.419999999999998,61.25999999999999,507.88693
46.264511,3.436196,270.25,57.527065423803315,4.5,0.07822404926878138,22.808,396.4742479383035,5.3872699739708345,593.309392047414,605.7688892804097,20.419999999999998,61.25999999999999,606.55493
46.264729,3.436916,274.0,60.49112993836572,3.75,0.061992559964095015,26.231,433.6338241115138,4.976166815963692,599.398401617542,611.9857680515104,20.419999999999998,61.25999999999999,611.6983
46.265004,3.438238,277.75,106.24413635068792,3.75,0.03529606554118051,44.284,416.8135910468368,4.344011716307582,502.9564230621378,513.5185079464426,20.419999999999998,61.25999999999999,510.27573
46.265214,3.440025,280.25,139.49584675086683,2.5,0.017921680524760605,53.309,382.15474683778524,3.964091618906152,420.8045636291296,429.64145946534126,20.419999999999998,61.25999999999999,398.3167
46.265392,3.441684,280.5,129.20061755478065,0.25,0.0019349752712598358,45.959,355.7181139673232,3.6379050568544913,359.4635348934631,367.01226912622576,20.419999999999998,61.25999999999999,363.09637
46.265565,3.4433,284.5,125.8448601265089,4.0,0.03178516783267027,41.514,329.8823643513684,4.26517106196238,390.8346428564407,399.04217035642597,20.419999999999998,61.25999999999999,401.51306
46.265714,3.444387,286.5,85.28061850000907,2.0,0.023451987511087145,32.152,377.0141512282369,4.082211960054013,427.51435479264484,436.49215624329037,20.419999999999998,61.25999999999999,436.14743
46.266208,3.444408,284.5,55.01556967749996,-2.0,-0.036353345275236724,20.046,364.36957969369763,2.9543155746065772,299.0174233894287,305.2967892806067,20.419999999999998,61.25999999999999,301.95685
46.267366,3.444289,281.0,129.23283715813773,-3.5,-0.027082899957672303,34.861,269.7534215498326,3.1066852645035676,232.78860549396776,237.67716620934107,20.419999999999998,61.25999999999999,239.66475
46.267898,3.444198,281.25,59.6345597781075,0.25,0.004192199974816914,16.905,283.4765622971197,3.682558401381467,289.97749891166524,296.0670263888102,20.419999999999998,61.25999999999999,337.0636
46.268182,3.444177,281.75,31.6560107388039,0.5,0.015794788677750245,10.766,340.09338980931824,3.919376728850839,370.26503268184416,378.0405983681629,20.419999999999998,61.25999999999999,365.6102
46.268359,3.444203,281.75,19.804873178367764,0.0,0.0,6.704,338.502546298684,3.6,338.502546298684,345.61109977095634,20.419999999999998,61.25999999999999,332.33093
46.268507,3.444281,281.75,17.534620800813354,0.0,0.0,5.728,326.66802807245784,3.6,326.66802807245784,333.5280566619794,20.419999999999998,61.25999999999999,332.33093
46.268832,3.444502,281.75,39.97660308394707,0.0,0.0,13.061,326.7161037313036,3.6,326.7161037313036,333.5771419096609,20.419999999999998,61.25999999999999,332.33093
46.26915,3.444701,281.75,38.56984879129033,0.0,0.0,12.601,326.70597357502476,3.6,326.70597357502476,333.56679902010023,20.419999999999998,61.25999999999999,332.33093
46.269204,3.444799,281.75,9.64397172070914,0.0,0.0,3.15,326.62891298569406,3.6,326.62891298569406,333.4881201583936,20.419999999999998,61.25999999999999,332.33093
46.26924,3.444865,281.75,6.469506910987262,0.0,0.0,2.14,330.78255104196666,3.6,330.78255104196666,337.7289846138479,20.419999999999998,61.25999999999999,332.33093
